level,policy,size,assoc,miss_ratio
1,2,16,4,1.0048360299535786
1,2,16,8,1.009115683567469
1,2,16,16,1.0230299977617756
1,2,16,32,1.035893995201993
1,2,16,64,1.032622280237475
1,2,17,4,1.0043237227295456
1,2,17,8,1.0120662117639077
1,2,17,16,1.0158414529505906
1,2,17,32,1.0189060927435243
1,2,17,64,1.0205199999490076
1,2,18,4,1.021898928217786
1,2,18,8,1.0367165118311104
1,2,18,16,1.0393167640338155
1,2,18,32,1.0416847302998686
1,2,18,64,1.041559820508953
1,2,19,4,0.9960496232156989
1,2,19,8,0.9808141900332916
1,2,19,16,0.9676794226749417
1,2,19,32,0.9569706642618003
1,2,19,64,0.9570495607018346
1,2,20,4,0.9911178332010073
1,2,20,8,0.9862169940662598
1,2,20,16,0.9829371133252336
1,2,20,32,0.9785099598122741
1,2,20,64,0.9778037971752109
1,2,21,4,0.9882497494960097
1,2,21,8,0.9743077761357003
1,2,21,16,0.9724994943280141
1,2,21,32,1.0008212406019381
1,2,21,64,1.0018225186152816
1,2,22,4,0.9969445409341505
1,2,22,8,0.985216193974679
1,2,22,16,0.9845442533059237
1,2,22,32,0.9851892915808996
1,2,22,64,0.985090290647433
1,2,23,4,0.9856017360985873
1,2,23,8,0.9842951954560492
1,2,23,16,0.9933313072067893
1,2,23,32,0.9826610115118624
1,2,23,64,0.9683817203693181
1,2,24,4,1.0001641339367509
1,2,24,8,0.9966971797779326
1,2,24,16,0.9991129453699682
1,2,24,32,0.9983654483327246
1,2,24,64,0.997781949047478
1,2,25,4,0.9698339692513879
1,2,25,8,0.9569571348154202
1,2,25,16,0.9490406924282715
1,2,25,32,0.9462719733802558
1,2,25,64,0.9447944647517074
